x1,x2,x3,x4,x5,x6,x7,actual y1,actual y2,actual y3,,theta values for y1,0.91572896,-1.80012011,7.54930852,0.32024571,-0.368518,1.10706391,0.20249522,predicted y1,,theta vaues for y2,-0.00065351,0.03896763,0.10953545,-0.04470035,-0.07602909,0.64768152,-0.00427916,predicted y2,,theta values for y3,-0.04240549,-0.03878085,0.00791711,0.0058794,-0.04304734,0.63151059,-0.04253519,predicted y3,,,
53.33333333,13.33333333,0.666666667,1,7.333333333,6.666666667,18.66666667,35,4,0.34,,,48.83887786,-24.00160146,5.032872349,0.32024571,-2.702465333,7.380426067,3.779910774,38.64826597,,,-0.034853867,0.5195684,0.073023633,-0.04470035,-0.55754666,4.3178768,-0.079877653,4.193490303,,,-2.261626133,-0.517078,0.005278073,0.0058794,-0.315680493,4.2100706,-0.793990213,0.332853234,,,
53.33333333,20,1.333333333,1,10,6.666666667,8.666666667,35,4,0.38,,,48.83887786,-36.0024022,10.06574469,0.32024571,-3.68518,7.380426067,1.754958573,28.6726707,,,-0.034853867,0.7793526,0.146047267,-0.04470035,-0.7602909,4.3178768,-0.037086053,4.366345497,,,-2.261626133,-0.775617,0.010556147,0.0058794,-0.4304734,4.2100706,-0.368638313,0.3901513,,,
43.33333333,20,0.666666667,0,7.333333333,6.666666667,22,15,4,0.32,,,39.68158826,-36.0024022,5.032872349,0,-2.702465333,7.380426067,4.45489484,17.84491399,,,-0.028318767,0.7793526,0.073023633,0,-0.55754666,4.3178768,-0.09414152,4.490246087,,,-1.837571233,-0.775617,0.005278073,0,-0.315680493,4.2100706,-0.93577418,0.350705767,,,
53.33333333,13.33333333,0.666666667,0,10,6.666666667,16,42,4.2,0.24,,,48.83887786,-24.00160146,5.032872349,0,-3.68518,7.380426067,3.23992352,36.80531834,,,-0.034853867,0.5195684,0.073023633,0,-0.7602909,4.3178768,-0.06846656,4.046857507,,,-2.261626133,-0.517078,0.005278073,0,-0.4304734,4.2100706,-0.68056304,0.3256081,,,
43.33333333,20,0.666666667,1,10,6.666666667,19.33333333,15,4.6,0.46,,,39.68158826,-36.0024022,5.032872349,0.32024571,-3.68518,7.380426067,3.914907586,16.64245778,,,-0.028318767,0.7793526,0.073023633,-0.04470035,-0.7602909,4.3178768,-0.082730427,4.25421259,,,-1.837571233,-0.775617,0.005278073,0.0058794,-0.4304734,4.2100706,-0.822347007,0.355219434,,,
53.33333333,20,1.333333333,0,7.333333333,6.666666667,11.33333333,26,4.7,0.52,,,48.83887786,-36.0024022,10.06574469,0,-2.702465333,7.380426067,2.294945826,29.87512691,,,-0.034853867,0.7793526,0.146047267,0,-0.55754666,4.3178768,-0.048497147,4.602378994,,,-2.261626133,-0.775617,0.010556147,0,-0.315680493,4.2100706,-0.482065487,0.385637634,,,
43.33333333,13.33333333,0.666666667,1,10,6.666666667,26,45,5,0.29,,,39.68158826,-24.00160146,5.032872349,0.32024571,-3.68518,7.380426067,5.26487572,29.99322665,,,-0.028318767,0.5195684,0.073023633,-0.04470035,-0.7602909,4.3178768,-0.11125816,3.965900657,,,-1.837571233,-0.517078,0.005278073,0.0058794,-0.4304734,4.2100706,-1.10591494,0.3301905,,,
53.33333333,20,0.666666667,1,7.333333333,6.666666667,12,27,4.2,0.34,,,48.83887786,-36.0024022,5.032872349,0.32024571,-2.702465333,7.380426067,2.42994264,25.2974971,,,-0.034853867,0.7793526,0.073023633,-0.04470035,-0.55754666,4.3178768,-0.05134992,4.481802237,,,-2.261626133,-0.775617,0.005278073,0.0058794,-0.315680493,4.2100706,-0.51042228,0.357882167,,,
53.33333333,13.33333333,1.333333333,0,7.333333333,6.666666667,18,55,4,0.52,,,48.83887786,-24.00160146,10.06574469,0,-2.702465333,7.380426067,3.64491396,43.22589579,,,-0.034853867,0.5195684,0.146047267,0,-0.55754666,4.3178768,-0.07702488,4.31406706,,,-2.261626133,-0.517078,0.010556147,0,-0.315680493,4.2100706,-0.76563342,0.3606087,,,
53.33333333,13.33333333,1.333333333,0,10,6.666666667,15.33333333,37,4,0.25,,,48.83887786,-24.00160146,10.06574469,0,-3.68518,7.380426067,3.104926706,41.70319387,,,-0.034853867,0.5195684,0.146047267,0,-0.7602909,4.3178768,-0.065613787,4.122733913,,,-2.261626133,-0.517078,0.010556147,0,-0.4304734,4.2100706,-0.652206247,0.359242967,,,
43.33333333,20,1.333333333,0,10,6.666666667,18.66666667,14,4.5,0.29,,,39.68158826,-36.0024022,10.06574469,0,-3.68518,7.380426067,3.779910774,21.2200876,,,-0.028318767,0.7793526,0.146047267,0,-0.7602909,4.3178768,-0.079877653,4.374789347,,,-1.837571233,-0.775617,0.010556147,0,-0.4304734,4.2100706,-0.793990213,0.3829749,,,
43.33333333,13.33333333,0.666666667,1,7.333333333,6.666666667,28.66666667,17,4,0.34,,,39.68158826,-24.00160146,5.032872349,0.32024571,-2.702465333,7.380426067,5.804862974,31.51592857,,,-0.028318767,0.5195684,0.073023633,-0.04470035,-0.55754666,4.3178768,-0.122669253,4.157233803,,,-1.837571233,-0.517078,0.005278073,0.0058794,-0.315680493,4.2100706,-1.219342113,0.331556234,,,
43.33333333,20,1.333333333,1,7.333333333,6.666666667,21.33333333,16,4.2,0.42,,,39.68158826,-36.0024022,10.06574469,0.32024571,-2.702465333,7.380426067,4.319898026,23.06303522,,,-0.028318767,0.7793526,0.146047267,-0.04470035,-0.55754666,4.3178768,-0.091288747,4.521422144,,,-1.837571233,-0.775617,0.010556147,0.0058794,-0.315680493,4.2100706,-0.907417387,0.390220034,,,
